EV,Win %,Pick %,Team,Opponent,Future Value (Stars),Year,Week,Opponent Division,Team Division,Divisional Matchup?,Away Team
1.14,0.78,0.0677,KC,HOU,5.0,2020,1,AFC South,AFC West,0,0
1.1,0.747,0.1216,NE,MIA,1.5,2020,1,AFC East,AFC East,1,0
1.07,0.725,0.0356999999999999,SF,ARI,3.5,2020,1,NFC West,NFC West,1,0
1.03,0.732,0.0874,BAL,CLE,4.5,2020,1,AFC North,AFC North,1,0
1.02,0.691,0.0516999999999999,PIT,NYG,2.5,2020,1,NFC East,AFC North,0,1
0.99,0.7290000000000001,0.3095,IND,JAX,2.0,2020,1,AFC South,AFC South,1,1
0.98,0.716,0.2257999999999999,BUF,NYJ,2.0,2020,1,AFC East,AFC East,1,0
0.98,0.6459999999999999,0.008,NO,TB,3.5,2020,1,NFC South,NFC South,1,0
0.97,0.6729999999999999,0.0561,PHI,WAS,1.5,2020,1,NFC East,NFC East,1,1
0.92,0.613,0.0058,TEN,DEN,2.0,2020,1,AFC West,AFC South,0,1
0.87,0.5760000000000001,0.0087,LV,CAR,0.5,2020,1,NFC South,AFC West,0,1
0.86,0.574,0.0066,LAC,CIN,1.5,2020,1,AFC North,AFC West,0,1
0.84,0.5539999999999999,0.0058,DET,CHI,0.5,2020,1,NFC North,NFC North,1,0
0.8,0.531,0.0015,MIN,GB,2.0,2020,1,NFC North,NFC North,1,0
0.78,0.513,0.0007,ATL,SEA,1.0,2020,1,NFC West,NFC South,0,0
0.76,0.502,0.0007,LAR,DAL,1.5,2020,1,NFC East,NFC West,0,0
0.75,0.498,0.0015,DAL,LAR,3.0,2020,1,NFC West,NFC East,0,1
0.73,0.487,0.0007,SEA,ATL,2.5,2020,1,NFC South,NFC West,0,1
0.71,0.469,0.0007,GB,MIN,2.0,2020,1,NFC North,NFC North,1,1
0.68,0.446,0.0,CHI,DET,1.0,2020,1,NFC North,NFC North,1,1
0.65,0.426,0.0,CIN,LAC,0.0,2020,1,AFC West,AFC North,0,0
0.65,0.424,0.0015,CAR,LV,0.0,2020,1,AFC West,NFC South,0,0
0.59,0.387,0.0007,DEN,TEN,0.5,2020,1,AFC South,AFC West,0,0
0.55,0.327,0.0,WAS,PHI,0.0,2020,1,NFC East,NFC East,1,0
0.54,0.354,0.0,TB,NO,3.0,2020,1,NFC South,NFC South,1,1
0.54,0.284,0.0007,NYJ,BUF,0.5,2020,1,AFC East,AFC East,1,1
0.53,0.271,0.0007,JAX,IND,0.0,2020,1,AFC South,AFC South,1,0
0.5,0.309,0.0,NYG,PIT,0.5,2020,1,AFC North,NFC East,0,0
0.48,0.268,0.0,CLE,BAL,1.5,2020,1,AFC North,AFC North,1,1
0.45,0.275,0.0,ARI,SF,1.0,2020,1,NFC West,NFC West,1,1
0.41,0.253,0.0,MIA,NE,0.5,2020,1,AFC East,AFC East,1,1
0.38,0.22,0.0,HOU,KC,1.0,2020,1,AFC West,AFC South,0,1
1.07,0.718,0.0258,PIT,CIN,3.0,2020,10,AFC North,AFC North,1,0
1.05,0.7090000000000001,0.0097,BAL,NE,5.0,2020,10,AFC East,AFC North,0,1
